STATCODE,region
AA,Other
AE,Other
AK,Pacific
AL,Southeast
AP,Other
AR,Southwest
AS,Other
AZ,Mountain
CA,Pacific
CO,Mountain
CT,Northeast
DC,Southeast
DE,Southeast
DI,Other
FL,Southeast
GA,Southeast
GU,Other
HI,Pacific
IA,Midwest
ID,Mountain
IL,Midwest
IN,Midwest
KS,Midwest
KY,Southeast
LA,Southwest
MA,Northeast
MD,Southeast
ME,Northeast
MI,Midwest
MN,Midwest
MO,Midwest
MP,Other
MS,Southeast
MT,Mountain
MW,Other
NC,Southeast
ND,Midwest
NE,Midwest
NH,Northeast
NJ,Northeast
NM,Mountain
NV,Mountain
NY,Northeast
OH,Midwest
OK,Southwest
OR,Pacific
PA,Northeast
PR,Other
RI,Northeast
SC,Southeast
SD,Midwest
TN,Southeast
TX,Southwest
UT,Mountain
VA,Southeast
VI,Other
VT,Northeast
WA,Pacific
WI,Midwest
WV,Southeast
WY,Mountain